job_key,job_title,salary_low,salary_high,is_remote,job_type
job-8c9cfef64b45c755,GIS & Data Science Specialist,$57.9K,$73.3K,Y,Full-time (i)
job-3aecd3e9a13bbdb2,Data Scientist,$92.3K,$117K,N,Full-time
job-0d8c028ae9e54edc,Data Scientist,$80.1K,$101K,N,Full-time
job-64766bc3a13bfb4a,Data Scientist (Remote),$127K,$161K,Y,Full-time
job-395bd650cdb99f1c,Applied Scientist 1,0,0,Y,Full-time (i)
job-af0047ffdcc82f78,Data Scientist - SDV,"$86,460","$141,060",Y,Full-time (i)
job-9f9fb479fb0e2ead,Data Scientist,0,0,N,Full-time (i)
job-4b6a8f04d7079151,Data Scientist,$80.2K,$102K,N,Full-time (i)
job-8e93fbb7fdfdf2f0,Associate Data Scientist,0,0,N,Full-time (i)
job-2ec9615060a9a5c2,Data Scientist / Quantitative Analyst,0,0,N,Full-time
job-0044953d92fa1cc7,Data Analyst,"$65,000","$75,000",N,Full-time
job-9a82bddb264631d6,Data Scientist,0,0,Y,Full-time
job-79f6fca30cf7c76b,"Analyst, Data Scientist",$81.5K,$103K,N,Full-time (i)
job-76918834b50321c9,Data Acquisition Analyst,$66.8K,$84.6K,Y,Full-time
job-9c83337880f04b6d,Data Scientist I,0,0,N,Full-time (i)
job-81d3dce59d59c680,Data Analyst,$95.4K,$121K,Y,Full-time (i)
job-4333d4e5f4a5b265,Data Scientist Associate 1,0,0,N,Full-time (i)
job-36b1de947c1b6ef3,"(Senior) Data Scientist, Clinical & Genomics",0,0,Y,Full-time (i)
job-57161b6c7ee09743,Jr. Data Scientist,$99.6K,$126K,N,Full-time
job-d5467cd6eab30e70,Data Analyst - USA,$61.8K,$78.3K,N,Full-time (i)
job-f2c0dec0eec47be9,Data Science Analyst,$70.8K,$89.7K,N,Full-time
job-99d232c89d28ff0b,Data Scientist,$88K,$111K,Y,Full-time (i)
job-94ae0893b9b53f62,"AI/ML - Junior Engineer, Siri Entity Resolution Quality",0,0,N,Full-time (i)
job-e11d9416d7bf8d30,"Director, Data Governance - Remote",0,0,Y,Full-time (i)
job-4bfb7e005e74b801,Data Scientist,$96.8K,$123K,N,Full-time
job-ab629fc2892e6463,Data Scientist II,$89.5K,$113K,N,Full-time (i)
job-97f33b65384d0965,Load Forecast Data Scientist,$92.7K,$117K,N,Full-time
job-20d3e043ea23ef18,Data Analyst (Remote),"$60,000","$80,000",Y,Full-time
job-f9d9e208ca25481b,Junior Data Scientist,$72K,$91.1K,N,Full-time
job-cbc245b33fc4134f,Data Scientist II - AI and Machine Learning,$107K,$135K,N,Full-time (i)
job-feba5abf21314515,eCornell Online Course Facilitator - Data Science,$73.2K,$92.7K,N,Part-time
job-9d021144296f7289,Algorithm Data Scientist,$119K,$150K,N,Full-time (i)
job-c5ef8dc4f65d0573,Machine Learning and AI Data Scientist - Python / R / NLP,$103K,$130K,N,Full-time
job-5b256331cda99c7e,Data Scientist,$99.6K,$126K,N,Full-time
job-75e150a635df361a,Data Scientist,$103K,$131K,Y,Full-time (i)
job-58a24e7053634e51,Healthcare Data Analyst,"$50,000","$114,000",Y,Full-time
job-f8e0660a79c87e7a,Data Scientist,$113K,$143K,N,Full-time
job-2ebc0a1b1b589f8a,Data Scientist,"$80,000","$80,000",N,Full-time
job-a0a88138c22acb6c,Data Scientist Apprentice,0,0,N,Full-time
job-e54ca2168fb24770,Energy Market GIS and/or Data Analyst,$60,$80,N,Full-time
job-9f288beebed53cdb,Statistical Assistant,$84.7K,$107K,N,Full-time (i)
job-95126f6c210ca8ce,Data Scientist,"$112,000","$136,000",Y,Full-time (i)
job-0a756a1add50eec1,Sales Operations Analyst,$48.8K,$61.8K,Y,Internship
job-046638552d4cb0ca,Junior Data Analyst,$68.2K,$86.3K,Y,Full-time (i)
job-a284f87d4869cb23,Data Science Product Owner (REMOTE),"$140,000","$157,000",Y,Full-time
job-7a7d2641bac69644,Data Analyst - Fully Remote,$56.4K,$71.4K,Y,Full-time (i)
job-91a1808eec7ad9a4,Senior Data Scientist - Algorithms,0,0,N,Full-time (i)
job-3052cab2ca9408ad,"Data Scientist I, Risk Analytics","$115,360","$151,410",Y,Full-time (i)
job-86900404171e4bc8,Sr. data scientist,$145K,$183K,N,Full-time
job-14df9bc1246c5c66,Senior Data Scientist,"$125,000","$185,000",N,Full-time
job-faa71a8a5ad27cb7,Associate Data Scientist (Remote),"$75,000","$105,000",Y,Full-time
job-bcffda3962391341,Data Scientist,"$74,682","$176,300",N,Full-time
job-a50132f749ea8c5b,Data Scientist,$80.7K,$102K,N,Full-time (i)
job-332bb4ffd55ade85,Data Analytics Manager (Remote),"$210,000","$210,000",Y,Full-time (i)
job-01acda57dd1ee035,Data Scientist,$85.1K,$108K,N,Full-time
job-22409aeaca7a375b,Data Scientist,"$130,000","$300,000",Y,Full-time (i)
