job_key,job_title,salary_low,salary_high,is_remote,is_intern,role,seniority,is_scientist,is_analyst,is_ml_engineer,is_research,role_unknown,is_junior,is_senior,seniority_unknown,salary_avg
job-0011b268f48bc6c2,Data Analytics Intern (Summer 2023 - Remote),40000,51000,1,1,Analyst,None,0,1,0,0,0,0,0,1,45500.0
job-0044953d92fa1cc7,Data Analyst,65000,75000,0,0,Analyst,None,0,1,0,0,0,0,0,1,70000.0
job-0072004f2d3180a4,Data Scientist (Remote),96000,220000,1,0,Scientist,None,1,0,0,0,0,0,0,1,158000.0
job-00d80147a1b5d603,Data Scientist,106000,134000,0,0,Scientist,None,1,0,0,0,0,0,0,1,120000.0
job-01902d8707f063a4,Data Scientist I,74000,94000,1,0,Scientist,None,1,0,0,0,0,0,0,1,84000.0
job-01acda57dd1ee035,Data Scientist,85000,108000,0,0,Scientist,None,1,0,0,0,0,0,0,1,96500.0
job-01bc99b11ef5cfb9,Data Scientist I,98000,124000,0,0,Scientist,None,1,0,0,0,0,0,0,1,111000.0
job-01f2291640f5921c,DATA ENGINEER: INFORMATICA,85000,108000,1,0,MLEngineer,None,0,0,1,0,0,0,0,1,96500.0
job-01fc8bb546b86f0c,Data Engineer,90000,115000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,102500.0
job-02029f355417cfc6,Artificial Intelligence (AI)/Machine Learning (ML) Graduate,117000,149000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,133000.0
job-0459faf946006dc9,Junior Data Scientist (Data science and AI),84000,107000,0,0,Scientist,Jr.,1,0,0,0,0,1,0,0,95500.0
job-046638552d4cb0ca,Junior Data Analyst,68000,86000,1,0,Analyst,Jr.,0,1,0,0,0,1,0,0,77000.0
job-04d8daa933d28271,Sr. Digital Data Analyst – Remote,96330,144560,1,0,Analyst,Sr.,0,1,0,0,0,0,1,0,120445.0
job-05f7fd765c4bd9d7,Data Engineer,100000,130000,1,0,MLEngineer,None,0,0,1,0,0,0,0,1,115000.0
job-060c0f71a5eac4a8,"Intern, Integrated Analytics - Summer 2023",34000,43000,1,1,Analyst,None,0,1,0,0,0,0,0,1,38500.0
job-0676301fe9bfbd9d,Data Engineer,105000,132000,0,0,MLEngineer,None,0,0,1,0,0,0,0,1,118500.0
job-06e65096698ac9c5,(Remote) Data Scientist - Rockefeller Neuroscience Institute,59000,75000,1,0,Scientist,None,1,0,0,0,0,0,0,1,67000.0
job-07696f51c770dba2,Statistical Analyst (Remote),55000,63000,1,0,Analyst,None,0,1,0,0,0,0,0,1,59000.0
job-0797666d07350dba,Data Science Intern,48000,61000,0,1,Scientist,None,1,0,0,0,0,0,0,1,54500.0
job-082d8a60f784a790,Data Scientist,101500,145000,0,0,Scientist,None,1,0,0,0,0,0,0,1,123250.0
job-08355578b3b5058b,Data Science Engineering Intern,44000,56000,0,1,MLEngineer,None,0,0,1,0,0,0,0,1,50000.0
